"symbol","page?","name","t","p","p_corr","var_explained","var_sd"
"AP2B1","163","adaptor-related protein complex 2, beta 1 subunit",-0.247860700966597,0.814099394463147,0.871764069271865,0.783005984068525,0.673262730926044
"AP1G1","164","adaptor-related protein complex 1, gamma 1 subunit",-4.28240965977791,0.00784549733099814,0.0341681024553653,0.99539170963643,0.862863067159598
"AEBP1","165","AE binding protein 1",-2.58859275092526,0.0489201457590459,0.115998336614508,0.979426222475174,1.58784449606772
"AES","166","amino-terminal enhancer of split",3.16926763410879,0.024835330798325,0.0734042401968978,0.826508450989511,1.06790480403599
"CRISP1","167","cysteine-rich secretory protein 1",1.02514344448937,0.352308933236469,0.480509533179351,0.65592816406427,0.828693930646393
"AFG3L1P","172","AFG3 ATPase family gene 3-like 1 (S. cerevisiae), pseudogene",1.94229785337541,0.109747345603658,0.205339160491741,0.852658715983341,1.3471531803587
"AFM","173","afamin",0.928171074452552,0.395917755203495,0.523167146234509,0.383227482254307,0.352934365352703
"AFP","174","alpha-fetoprotein",3.74988879029963,0.0132952470802823,0.048307691148021,1.0267543318877,1.11816183422019
"AGA","175","aspartylglucosaminidase",-2.25264531039665,0.0740309675631783,0.155395508708047,1.7651120495537,0.81391005668004
"ACAN","176","aggrecan",-3.76950513819364,0.0130295446867938,0.0476623537566591,1.45375098232869,1.86751781759943
"AGER","177","advanced glycosylation end product-specific receptor",-4.97384925109854,0.00419784645564172,0.0230774120355222,0.803434442474334,0.739611505494245
"AGL","178","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",-2.72491818249051,0.0415308475480575,0.103687452315814,1.15286490585298,1.55404877994094
"AGRP","181","agouti related protein homolog (mouse)",-3.5943504308452,0.0156361208055753,0.0536526977856544,1.81873049169505,1.53548737907075
"JAG1","182","jagged 1",1.99632681673417,0.10241882889601,0.195462742954587,0.515871011756777,0.851327840751045
"AGT","183","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",-2.05404749834302,0.0951513016621538,0.185240798328591,2.43960515793679,3.88008642013445
"AGTR1","185","angiotensin II receptor, type 1",-5.31924028194814,0.00314212194701076,0.0191821700183591,0.937354827970985,0.698681822432393
"AGTR2","186","angiotensin II receptor, type 2",-3.54900638290713,0.0164048145893761,0.0555024220164976,1.22109761720357,1.22343624776906
"APLNR","187","apelin receptor",-4.71901387150184,0.0052472369196858,0.0265387624937977,3.0772695815239,2.39770672686855
"AGXT","189","alanine-glyoxylate aminotransferase",-0.724096316379363,0.501456746208008,0.618880396344505,1.29677371378018,1.53970618579952
"NR0B1","190","nuclear receptor subfamily 0, group B, member 1",-0.546385124484968,0.608288394361438,0.710694811911277,0.870565225434564,0.949900616581655
"AHCY","191","adenosylhomocysteinase",-1.4757612381377,0.200031513028316,0.317940175275785,0.469516641277978,0.57866213570879
"AHR","196","aryl hydrocarbon receptor",5.93742850608738,0.00193471419015388,0.0145344791726522,2.86080841033555,2.46761067129665
"AHSG","197","alpha-2-HS-glycoprotein",5.4985301473322,0.00271827179488152,0.0175862794273894,2.33092028883167,1.75194548897998
"AIF1","199","allograft inflammatory factor 1",-4.86239360839164,0.00462347102002366,0.0244499037161887,2.26302838327829,2.23029998123155
"AIM1","202","absent in melanoma 1",-0.222318752133533,0.832861551624281,0.885016515367238,0.291989095076915,0.152435484662899
"AK1","203","adenylate kinase 1",-2.70428208328822,0.0425657659439517,0.105379511353813,2.15637224175427,1.53865818613055
